TP;NG;TC;TM;IG;SOMA_GANHO;MEDIA_PRIORIDADE;GANHO_MEDIO_FORMULA
10;200;0.8;0.8;0.7;2526;126.3;12630
10;10;0.2;0.2;0.1;2523;126.15;12615
10;200;0.2;0.8;0.7;2514;125.7;12570
50;10;0.2;0;0.7;2513;125.65;12565
10;10;0.5;0.2;0.7;2511;125.55;12555
10;200;0.5;0.8;0.7;2511;125.55;12555
10;10;0.8;0.8;0.1;2510;125.5;12550
50;10;0.5;0.8;0.7;2508;125.4;12540
50;10;0.2;0.8;0.7;2502;125.1;12510
10;10;0.2;0.2;0.7;2499;124.95;12495
10;10;0.2;0.8;0.1;2493;124.65;12465
10;100;0.5;0.8;0.7;2493;124.65;12465
10;50;0.8;0;0.7;2489;124.45;12445
50;10;0.8;0.8;0.7;2487;124.35;12435
10;50;0.8;0;0;2484;124.2;12420
10;10;0.2;0.8;0;2483;124.15;12415
10;10;0.8;0.2;0.7;2482;124.1;12410
10;100;0.8;0.8;0.7;2479;123.95;12395
10;50;0.5;0.8;0.7;2476;123.8;12380
10;100;0.2;0.8;0.7;2470;123.5;12350
10;10;0.5;0.8;0;2467;123.35;12335
10;10;0.8;0.8;0;2465;123.25;12325
10;10;0.8;0;0;2463;123.15;12315
10;50;0.2;0.8;0.7;2457;122.85;12285
10;200;0.5;0;0;2440;122;12200
10;10;0.5;0;0;2433;121.65;12165
10;10;0.8;0.8;0.7;2432;121.6;12160
10;50;0.8;0.8;0.7;2432;121.6;12160
10;50;0.8;0;0.1;2429;121.45;12145
10;10;0.5;0.8;0.1;2427;121.35;12135
10;100;0.8;0;0.1;2422;121.1;12110
10;50;0.5;0;0.1;2420;121;12100
10;50;0.5;0;0.7;2413;120.65;12065
10;10;0.5;0.8;0.7;2412;120.6;12060
10;100;0.8;0;0.7;2408;120.4;12040
10;10;0.5;0;0.7;2406;120.3;12030
10;200;0.8;0;0;2402;120.1;12010
10;10;0.8;0;0.1;2394;119.7;11970
10;50;0.5;0;0;2393;119.65;11965
10;200;0.5;0;0.1;2391;119.55;11955
10;100;0.5;0;0.7;2389;119.45;11945
10;10;0.8;0;0.7;2386;119.3;11930
10;100;0.8;0;0;2378;118.9;11890
10;100;0.5;0;0;2375;118.75;11875
10;200;0.2;0;0.7;2375;118.75;11875
10;100;0.5;0;0.1;2372;118.6;11860
10;10;0.5;0;0.1;2369;118.45;11845
10;10;0.2;0.8;0.7;2368;118.4;11840
10;200;0.2;0;0.1;2367;118.35;11835
10;200;0.8;0;0.1;2367;118.35;11835
10;10;0.2;0;0.1;2355;117.75;11775
10;50;0.2;0;0.7;2355;117.75;11775
10;200;0.8;0;0.7;2350;117.5;11750
10;100;0.2;0;0.1;2347;117.35;11735
10;100;0.2;0;0;2341;117.05;11705
10;50;0.2;0;0;2336;116.8;11680
10;10;0.2;0;0.7;2335;116.75;11675
10;50;0.2;0;0.1;2335;116.75;11675
10;200;0.5;0;0.7;2329;116.45;11645
10;100;0.2;0;0.7;2328;116.4;11640
10;200;0.2;0;0;2322;116.1;11610
10;10;0.2;0;0;2320;116;11600
